municipio,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
MATINA,430,339,6000.0,1500.0,8000.0
ÉRICO CARDOSO,428,337,1000.0,500.0,8000.0
NOVA CANAÃ,427,248,1000.0,389.25,5160.0
ITIRUÇU,424,350,1225.0,1000.0,26000.0
ARAMARI,423,377,10000.0,500.0,640517.01
TAPIRAMUTÁ,423,379,11700.0,1600.0,579484.23
ITAGIMIRIM,421,307,1000.0,1.77,8000.0
SOUTO SOARES,421,328,3000.0,1000.0,12398657.22
JUCURUÇU,416,356,1500.0,500.0,27016.78
CATOLÂNDIA,413,282,800.0,96.25,2500.0
MUNDO NOVO,412,351,1700.0,665.0,4000.0
TAPEROÁ,411,304,1307.6,500.0,3026.25
SAPEAÇU,410,279,1200.0,490.0,3454.89
CABACEIRAS DO PARAGUAÇU,407,357,4140.0,1030.0,60000.0
MILAGRES,399,256,3100.0,1082.5,700000.0
BOA VISTA DO TUPIM,399,287,3000.0,867.5,18314.64
CAETANOS,399,331,1.77,1.0,1500.0
SANTA INÊS,395,235,121800.0,900.0,798492.2
IGRAPIÚNA,394,263,4020.0,700.0,200347.19
QUIJINGUE,394,299,2000.0,1000.0,8000.0
ITAPÉ,393,301,3000.0,1000.0,4200.0
FRA SANTANA,393,317,1500.0,650.0,8000.0
BOA NOVA,391,333,2300.0,1.77,4000.0
UBAITABA,391,264,3650.0,1000.0,569924.31
MAIRI,391,334,1950.0,600.0,10003.75
VÁRZEA DA ROÇA,390,330,2000.0,900.0,3500.0
UBATÃ,388,284,2000.0,1000.0,40000.0
BARRA DO JACUÍPE,388,314,1500.0,1000.0,4946.25
CENTRAL,388,278,1500.0,1000.0,6252.5
ITAETÉ,386,338,1500.0,600.0,4856.25
HUMILDES - DISTRITO,385,253,1443.09,400.0,5423.25
BUERAREMA,378,245,500.0,100.0,1500.0
PRESIDENTE DUTRA,378,312,2100.0,1000.0,47984.0
SERROLÂNDIA,375,263,1040.0,700.0,693040.62
VARZEDO,374,244,405.0,1.77,3500.0
MAETINGA,367,240,2312.0,705.0,62780.0
PIRAÍ DO NORTE,364,297,2000.0,430.0,2000.0
PIRIPÁ,364,263,900.0,500.0,2000.0
IPUPIARA,352,299,2000.0,560.0,8000.0
PEDRO ALEXANDRE,350,276,1000.0,401.36,529606.1
PIRITIBA,349,273,1600.0,142.0,5000.0
MORTUGABA,348,238,1250.0,500.0,5000.0
BREJÕES,347,188,1000.0,300.0,4800.0
BREJOLÂNDIA,346,290,2400.0,700.0,4000.0
ITAJU DO COLÔNIA,346,270,19371.15,1500.0,118816.49
RETIROLÂNDIA,346,297,2000.0,1000.0,100000.0
MACURURÉ,342,264,21847.16,2000.0,1125127.65
NORDESTINA,335,287,4000.0,1500.0,8217.5
MASCOTE,334,213,1400.0,1.77,10000.0
ÁGUA FRIA,334,246,4000.0,1204.0,14500.0
JUSSIAPE,332,265,600.0,55.0,3500.0
MACAJUBA,329,275,1800.0,1.77,7000.0
ITAPEBI,328,197,2000.0,1.77,6000.0
JUSSARA,328,251,1200.0,400.0,8000.0
MAIQUINIQUE,327,212,1000.0,1.77,2500.0
BARRO ALTO,326,264,1000.0,383.14,1500.0
IPECAETÁ,316,278,3950.0,962.5,7000.0
ITAQUARA,316,272,30000.0,575.0,30000.0
CALDAS DO JORRO,313,181,1000.0,600.0,1500.0
APORÁ,309,259,1200.0,94.44,4000.0
IRAJUBA,308,266,54000.0,5500.0,233495.1
MANSIDÃO,301,156,1225.0,209.12,19137.5
LAJEDO DO TABOCAL,300,265,720.0,1.77,4300.0
RIBEIRÃO DO LARGO,299,215,1.77,1.55,2325.0
JANDAÍRA,299,262,3000.0,1.71,933798.66
GAVIÃO,295,238,1600.0,1500.0,310157.99
MORPARÁ,292,212,2000.0,1200.0,7125.0
MANOEL VITORINO,291,242,950.0,73.75,5500.0
CAÉM,285,224,2000.0,240.0,8000.0
DÁRIO MEIRA,281,200,1500.0,300.0,4655.0
JITAÚNA,280,209,2200.0,800.0,8000.0
GUARAJUBA,280,211,6500.0,1000.0,40000.0
NOVA IBIÁ,278,250,900.0,402.12,1950.0
SANTA TEREZINHA,278,198,3000.0,1000.0,56873.0
FIRMINO ALVES,275,202,2000.0,1000.0,5000.0
APUAREMA,273,210,3160.5,1000.0,427363.77
ELÍSIO MEDRADO,273,162,2350.0,1000.0,7800.0
CONTENDAS DO SINCORÁ,270,207,1000.0,100.0,2000.0
BARRA DO ROCHA,270,225,5000.0,800.0,6000.0
RODA VELHA - DISTRITO,269,161,2000.0,1000.0,238200.0
BURITIRAMA,268,204,1300.0,796.5,7500.0
ANTÔNIO GONÇALVES,266,183,1000.0,1.0,6000.0
QUIXABEIRA,265,220,31387.12,890.0,97500.0
MUNIZ FERREIRA,264,206,1000.0,1.77,100000.0
MARCIONÍLIO SOUZA,259,229,1400.0,650.0,3500.0
ITACIMIRIM,258,159,1500.0,1000.0,6000.0
SANTANÓPOLIS,257,233,3000.0,600.0,3000.0
SÃO DOMINGOS,257,201,8000.0,1000.0,475130.06
GUAJERU,255,191,1000.0,454.24,228659.41
POTIRAGUÁ,254,205,200.0,1.0,2500.0
DOM MACEDO COSTA,250,180,95500.0,600.0,688924.78
SANTA CRUZ DA VITÓRIA,249,119,800.0,300.0,6000.0
ITAPITANGA,249,208,3625.0,1000.0,389205.0
LAJEDÃO,245,138,950.0,8.57,3750.0
SAUBARA,243,209,4000.0,1500.0,543953.83
FLORESTA AZUL,243,163,2500.0,1000.0,389856.97
TREMEDAL,236,175,1000.0,500.0,2000.0
CATURAMA,234,161,1000.0,300.0,2300.0
AURELINO LEAL,233,164,3500.0,680.0,3500.0
AIQUARA,232,126,1185.0,300.0,28422.5
FEIRA DA MATA,231,145,2000.0,1000.0,8025.0
OURIÇANGAS,229,206,1275.01,142.0,5740.0
CHORROCHÓ,225,129,1500.0,500.0,5000.0
ARATUÍPE,221,148,300.0,1.77,3500.0
NOVO TRIUNFO,218,193,8000.0,1200.0,124645.65
CALDEIRÃO GRANDE,216,124,1870.0,900.0,118807.23
TEODORO SAMPAIO,215,154,1472.5,110.0,3842.75
PAU BRASIL,213,148,2500.0,1000.0,4000.0
ITANAGRA,212,145,1500.0,500.0,8000.0
NILO PEÇANHA,211,137,1500.0,210.0,60000.0
TANQUINHO,209,189,2000.0,580.0,9019.12
ROSÁRIO (CORRENTINA),206,184,10000.0,3500.0,27138.0
BOM JESUS DA SERRA,205,101,219466.94,1500.0,17975562.88
SAÚDE,205,133,1300.0,100.0,8500.0
MORRO DE SÃO PAULO - DISTRITO,201,146,3100.0,325.49,10340.0
PEDRÃO,200,190,2050.0,274.0,969257.92
SÃO FÉLIX,200,150,730.0,92.5,2037.5
VÁRZEA DO POÇO,200,169,2528.0,600.0,49500.0
ALMADINA,198,177,1200.0,1000.0,3200.0
ARATACA,188,99,2091.0,675.0,336210.81
CARDEAL DA SILVA,186,144,3098.93,500.0,79407.5
CAATIBA,183,152,50.89,1.55,3000.0
ITAGI,182,102,1200.0,585.0,5000.0
LAJEDINHO,182,166,3200.0,650.0,82430.37
ABAÍRA,182,151,2200.0,341.5,5000.0
JUSSARI,178,164,90000.0,1687.5,90000.0
MONTE GORDO - DISTRITO,176,113,2000.0,1000.0,26000.0
TERRA NOVA,174,110,2000.0,280.0,5000.0
CANÁPOLIS,172,115,2000.0,1.0,36000.0
NOVA REDENÇÃO,171,160,2350.0,400.0,365342.31
ICHU,171,133,2000.0,1000.0,7272.0
PLANALTINO,170,108,1045.0,1.78,5625.0
BARRO PRETO,159,95,2500.0,738.7,60000.0
ITAMARI,159,121,2500.0,500.0,4000.0
IMBASSAÍ (MATA DE SÃO JOÃO),158,113,6000.0,1100.0,12400.0
LAFAIETE COUTINHO,156,134,6000.0,1000.0,10250.0
AREMBEPE,151,119,2000.0,982.5,5400.0
NOVA ITARANA,148,122,40900.0,2125.0,1604471.82
JOSÉ GONÇALVES - DISTRITO,146,97,1500.0,100.0,3453.0
CANDEAL,141,124,782.5,163.0,1575.0
GONGOGI,132,89,1500.0,600.0,7000.0
MARIA QUITÉRIA - DISTRITO,132,104,1000.0,352.5,2531.75
RIACHO DA GUIA - DISTRITO,130,113,140.0,68.0,710.0
POSTO DA MATA (NOVA VIÇOSA),128,9,1000.0,900.0,1500.0
CARNAÍBA DO SERTÃO - DISTRITO,126,118,1000.0,1000.0,2000.0
PORTO SAUÍPE,124,96,2300.0,1100.0,3637.5
JAUÁ,121,94,1000.0,1000.0,2318.0
ITAMOTINGA (JUAZEIRO),121,66,584274.18,3863.4,14069157.38
CAROBA - DISTRITO,120,83,550.0,390.0,947.5
JAÍBA - DISTRITO,118,80,1100.0,475.0,4900.0
SÃO JOSÉ DA VITÓRIA,105,64,1300.0,390.0,2500.0
BOA UNIÃO - DISTRITO,104,98,423.0,140.5,2274.5
ITAMOTINGA - DISTRITO,103,72,2000.0,1000.0,32485.0
TIQUARUÇU - DISTRITO,103,70,1500.0,1000.0,6000.0
CERAIMA - DISTRITO,103,65,300.0,300.0,500.0
ABRANTES (CAMAÇARI),98,75,1000.0,790.0,25000.0
LAMARÃO,97,57,650.0,1.0,1500.0
TRANCOSO (PORTO SEGURO),94,94,1250.0,1000.0,44932.85
CRAVOLÂNDIA,89,56,1850.0,200.0,8000.0
CATU DE ABRANTES,84,71,600.0,99.99,3525.0
DIAS D,83,61,770.0,1.0,25990.0
PARAFUSO,82,67,1200.0,1000.0,6000.0
IBIQUERA,78,73,2800.0,1000.0,6900.0
SÃO JOSÉ DOS PINHAIS,78,78,108948819.23,108948819.23,108948819.23
CUMURUXATIBA - DISTRITO,78,63,1000.0,300.0,1165.0
STO ANTÔNIO JESUS,71,23,10.0,10.0,2500.0
LUÍS EDUARDO MAGALHÃES/BA,70,70,4000.0,1000.0,4500.0
GOVERNADOR JOÃO DURVAL CARNEIRO - DISTRITO,64,52,5000.0,1800.0,6000.0
HUMILDES (FEIRA DE SANTANA),63,36,1070.0,900.0,3000.0
VITORIA DA CONQUISTA,63,57,1000.0,1000.0,1000.0
MATARIPE (SÃO FRANCISCO DO CONDE),61,39,748528.0,220006.28,1600584.3
IGUÁ - DISTRITO,61,28,4150.0,100.0,6537622.58
SUBAÚMA - DISTRITO,59,39,14000.0,8000.0,14000.0
SANTANA DO SOBRADO - DISTRITO,57,26,5000.0,1.0,7000.0
INHOBIM - DISTRITO,56,41,2000.0,1.77,6000.0
CAETÉ-AÇU - DISTRITO,55,16,1750.0,1300.0,5000.0
