modalidade,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
ENGENHARIA DE POÇOS,1,0,,,
ENGENHARIA DE CORROSÃO E DESGASTE,1,0,,,
EM GESTÃO,1,0,,,
CURSO DE ESPECIALIZACAO EM ENGENHARIA ECONOMICA,1,0,,,
ENGENHARIA DIAGNÓSTICA,1,0,,,
066.675.768-22,1,0,,,
C.ESP.POS.LATO SENSU AUDITORIA,1,0,,,
-,1,0,,,
AVALIAÇÕES,1,0,,,
CURSO DE APERF. EM GEORREFERENCIAMENTO DE IMÓVEIS RURAIS,1,0,,,
DOUTOR EM ENGENHARIA AGRÍCOLA AREA CONST RURAIS E AMBIÊNCIA,1,0,,,
ENGENHARIA DE PAVIMENTAÇÃO ASFÁLTICA,1,0,,,
CURSO DE PÓS-GRADUAÇÃO LATO SENSU DE ENGENHARIA DE TRÁFEGO.,1,0,,,
CURSO DE MINERACAO,1,0,,,
C ESPECIALIZACAO L SENSU GEORREFERENCIAMENTO IMOVEIS RURAIS,1,0,,,
APERFEIÇOAMENTO EM GEORREFERECIAMENTO DE IMOVEIS RURAIS,1,0,,,
ENGENHARIA DE AVALIAÇÃO E PERÍCIAS,1,0,,,
